Team,No.,Space,Action,Erros,Attempts,Score
IRI,2,11,6,0.0,0.0,0.0
IRI,22,1,2,0.0,0.0,1.0
IRI,2,11,6,0.0,0.0,0.0
IRI,2,8,3,1.0,0.0,0.0
IRI,8,8,8,0.0,0.0,0.0
IRI,18,2,5,0.0,0.0,0.0
IRI,5,2,1,0.0,0.0,0.0
IRI,17,3,2,1.0,0.0,0.0
IRI,22,7,8,0.0,0.0,0.0
IRI,18,5,5,0.0,0.0,0.0
IRI,22,1,1,0.0,0.0,0.0
IRI,17,3,2,0.0,0.0,0.0
IRI,2,13,8,0.0,0.0,0.0
IRI,18,5,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,5,11,6,1.0,0.0,0.0
IRI,22,1,2,0.0,0.0,1.0
IRI,5,11,6,0.0,0.0,0.0
IRI,2,8,8,0.0,0.0,0.0
IRI,19,1,5,0.0,0.0,0.0
IRI,17,3,1,1.0,0.0,0.0
IRI,17,12,6,0.0,0.0,0.0
IRI,1,3,2,0.0,0.0,0.0
IRI,18,1,3,1.0,0.0,0.0
IRI,22,7,8,0.0,0.0,0.0
IRI,18,6,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,22,11,6,1.0,0.0,0.0
IRI,22,6,8,0.0,0.0,0.0
IRI,18,2,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,1,11,4,0.0,0.0,0.0
IRI,5,2,2,0.0,0.0,0.0
IRI,18,3,2,1.0,0.0,0.0
IRI,22,5,8,0.0,1.0,0.0
IRI,18,2,5,0.0,1.0,0.0
IRI,22,2,1,1.0,0.0,0.0
IRI,8,5,8,0.0,1.0,0.0
IRI,18,2,5,0.0,0.0,0.0
IRI,5,2,1,1.0,0.0,0.0
IRI,22,8,8,0.0,0.0,0.0
IRI,18,2,5,0.0,0.0,0.0
IRI,2,1,1,0.0,0.0,1.0
IRI,18,10,4,0.0,0.0,0.0
IRI,22,8,3,0.0,0.0,0.0
IRI,18,13,3,0.0,0.0,0.0
IRI,2,1,1,0.0,0.0,0.0
IRI,17,2,2,1.0,0.0,0.0
IRI,5,5,8,0.0,0.0,0.0
IRI,2,6,5,1.0,0.0,0.0
IRI,17,4,8,0.0,0.0,0.0
IRI,1,2,5,0.0,0.0,0.0
IRI,2,3,1,0.0,0.0,0.0
IRI,2,3,2,0.0,0.0,0.0
IRI,2,11,6,0.0,0.0,0.0
IRI,2,11,6,0.0,0.0,0.0
IRI,2,8,3,0.0,0.0,0.0
IRI,17,3,5,0.0,0.0,0.0
IRI,22,1,1,1.0,0.0,0.0
IRI,8,8,8,0.0,0.0,0.0
IRI,18,3,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,0.0
IRI,18,3,3,0.0,0.0,0.0
IRI,17,13,3,0.0,0.0,0.0
IRI,18,3,3,0.0,0.0,0.0
IRI,5,2,2,0.0,0.0,0.0
IRI,18,5,3,0.0,0.0,0.0
IRI,2,5,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,5,11,6,0.0,0.0,0.0
IRI,18,6,3,0.0,0.0,0.0
IRI,2,7,3,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,5,11,6,1.0,0.0,0.0
IRI,17,12,6,0.0,0.0,0.0
IRI,18,3,2,1.0,0.0,0.0
IRI,22,7,8,0.0,0.0,0.0
IRI,18,1,5,0.0,1.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,22,11,6,0.0,0.0,0.0
IRI,1,1,2,0.0,0.0,0.0
IRI,22,8,3,0.0,0.0,0.0
IRI,18,13,5,0.0,0.0,0.0
IRI,2,1,3,0.0,0.0,0.0
IRI,17,3,3,1.0,0.0,0.0
IRI,1,11,4,0.0,0.0,0.0
IRI,1,7,3,1.0,0.0,0.0
IRI,22,8,8,0.0,0.0,0.0
IRI,8,6,5,0.0,0.0,0.0
IRI,2,1,1,0.0,0.0,0.0
IRI,18,2,3,0.0,0.0,0.0
IRI,8,1,3,1.0,0.0,0.0
IRI,1,4,8,0.0,1.0,0.0
IRI,18,2,5,0.0,1.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,18,10,4,0.0,0.0,0.0
IRI,5,1,2,1.0,0.0,0.0
IRI,8,8,8,0.0,0.0,0.0
IRI,17,5,5,0.0,0.0,0.0
IRI,2,3,1,0.0,0.0,0.0
IRI,2,3,1,0.0,0.0,0.0
IRI,2,3,2,1.0,0.0,0.0
IRI,2,11,6,1.0,0.0,0.0
IRI,8,8,8,1.0,0.0,0.0
IRI,18,1,8,1.0,0.0,0.0
IRI,18,1,8,0.0,0.0,0.0
IRI,8,8,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,5,11,6,0.0,0.0,1.0
IRI,5,11,6,0.0,0.0,1.0
IRI,5,11,6,0.0,0.0,0.0
IRI,1,3,2,1.0,0.0,0.0
IRI,2,8,8,0.0,1.0,0.0
IRI,1,8,5,0.0,1.0,0.0
IRI,17,3,1,0.0,0.0,1.0
IRI,17,12,6,0.0,0.0,0.0
IRI,8,7,3,1.0,0.0,0.0
IRI,22,11,6,0.0,0.0,0.0
IRI,22,5,3,1.0,0.0,0.0
IRI,22,7,8,0.0,0.0,0.0
IRI,18,5,5,0.0,0.0,0.0
IRI,22,1,1,0.0,0.0,0.0
IRI,18,5,3,0.0,0.0,0.0
IRI,2,2,5,0.0,0.0,0.0
IRI,17,3,1,0.0,0.0,0.0
IRI,18,2,3,0.0,0.0,0.0
IRI,8,5,5,0.0,0.0,0.0
IRI,22,1,1,0.0,0.0,0.0
IRI,8,4,3,1.0,0.0,0.0
IRI,22,7,8,1.0,0.0,0.0
IRI,1,11,4,0.0,0.0,0.0
IRI,17,3,3,0.0,1.0,0.0
IRI,18,2,5,0.0,0.0,0.0
IRI,22,1,1,1.0,0.0,0.0
IRI,22,7,8,0.0,0.0,0.0
IRI,18,1,5,0.0,0.0,0.0
IRI,17,3,1,1.0,0.0,0.0
IRI,2,8,8,0.0,1.0,0.0
IRI,18,3,5,0.0,1.0,0.0
IRI,22,1,1,0.0,0.0,1.0
IRI,17,12,6,0.0,0.0,0.0
IRI,22,1,2,0.0,0.0,1.0
IRI,17,12,6,0.0,0.0,0.0
IRI,18,3,2,1.0,0.0,0.0
IRI,2,8,8,0.0,1.0,0.0
IRI,18,2,5,0.0,1.0,0.0
